station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
Gordon Station - Chatswood Station,T1,Inbound,0 days 00:08:00,5481.12,480,41.1084
Parramatta Station - Blacktown Station,T1,Outbound,0 days 00:10:00,11671.96,600,70.03176
Penrith Station - Emu Plains Station,T1,Outbound,0 days 00:03:00,2424.05,180,48.481
Emu Plains Station - Penrith Station,T1,Inbound,0 days 00:06:00,2425.62,360,24.2562
Mount Druitt Station - Rooty Hill Station,T1,Inbound,0 days 00:03:00,2370.96,180,47.4192
Rooty Hill Station - Doonside Station,T1,Inbound,0 days 00:03:00,2340.29,180,46.8058
Doonside Station - Blacktown Station,T1,Inbound,0 days 00:04:00,3661.4,240,54.921
Seven Hills Station - Westmead Station,T1,Inbound,0 days 00:05:00,6907.5,300,82.89
Westmead Station - Parramatta Station,T1,Inbound,0 days 00:04:00,1957.66,240,29.3649
Parramatta Station - Lidcombe Station,T1,Inbound,0 days 00:06:00,6613.62,360,66.1362
Lidcombe Station - Parramatta Station,T1,Outbound,0 days 00:08:00,6592.64,480,49.4448
Westmead Station - Seven Hills Station,T1,Outbound,0 days 00:06:00,6900.41,360,69.0041
Lidcombe Station - Homebush Station,T1,Inbound,0 days 00:05:00,3902.86,300,46.83432
Strathfield Station - North Strathfield Station,T9,Outbound,0 days 00:03:00,1514.65,180,30.293
North Strathfield Station - Concord West Station,T9,Outbound,0 days 00:02:00,1177.18,120,35.3154
Concord West Station - Rhodes Station,T9,Outbound,0 days 00:03:00,2010.44,180,40.2088
Rhodes Station - Meadowbank Station,T9,Outbound,0 days 00:02:00,1678.56,120,50.3568
Meadowbank Station - West Ryde Station,T9,Outbound,0 days 00:02:00,978.78,120,29.3634
West Ryde Station - Denistone Station,T9,Outbound,0 days 00:02:00,1011.58,120,30.3474
Denistone Station - Eastwood Station,T9,Outbound,0 days 00:02:00,1193.47,120,35.8041
Epping Station - Cheltenham Station,T9,Outbound,0 days 00:03:00,2063.59,180,41.2718
Cheltenham Station - Beecroft Station,T9,Outbound,0 days 00:02:00,1561.59,120,46.8477
Beecroft Station - Pennant Hills Station,T9,Outbound,0 days 00:03:00,1632.28,180,32.6456
Pennant Hills Station - Thornleigh Station,T9,Outbound,0 days 00:02:00,829.45,120,24.8835
Thornleigh Station - Normanhurst Station,T9,Outbound,0 days 00:03:00,2270.27,180,45.4054
Normanhurst Station - Hornsby Station,T9,Outbound,0 days 00:02:00,2103.81,120,63.1143
Eastwood Station - West Ryde Station,T9,Inbound,0 days 00:03:00,2204.58,180,44.0916
West Ryde Station - Rhodes Station,T9,Inbound,0 days 00:04:00,2656.65,240,39.84975
Rhodes Station - Strathfield Station,T9,Inbound,0 days 00:06:00,4678.08,360,46.7808
Burwood Station - Central Station,T9,Inbound,0 days 00:12:00,10937.62,720,54.6881
Central Station - Burwood Station,T9,Outbound,0 days 00:11:00,10613.11,660,57.88969091
Waitara Station - Turramurra Station,T1,Inbound,0 days 00:05:00,3372.16,300,40.46592
Turramurra Station - Gordon Station,T1,Inbound,0 days 00:05:00,3596.82,300,43.16184
Parramatta Station - Seven Hills Station,T1,Outbound,0 days 00:07:00,8832.44,420,75.70662857
St Marys Station - Penrith Station,T1,Outbound,0 days 00:07:00,7603.72,420,65.17474286
Seven Hills Station - Toongabbie Station,T1,Inbound,0 days 00:03:00,2156.46,180,43.1292
Toongabbie Station - Pendle Hill Station,T1,Inbound,0 days 00:02:00,1665.4,120,49.962
Pendle Hill Station - Wentworthville Station,T1,Inbound,0 days 00:03:00,1646.61,180,32.9322
Wentworthville Station - Westmead Station,T1,Inbound,0 days 00:02:00,1439.03,120,43.1709
Parramatta Station - Granville Station,T1,Inbound,0 days 00:03:00,1968.98,180,39.3796
Wolli Creek Station - Riverwood Station,T8,Outbound,0 days 00:11:00,10191.85,660,55.59190909
Padstow Station - Holsworthy Station,T8,Outbound,0 days 00:07:00,7417.26,420,63.57651429
Schofields Station - Quakers Hill Station,T1,Inbound,0 days 00:03:00,2835.51,180,56.7102
Quakers Hill Station - Marayong Station,T1,Inbound,0 days 00:03:00,2536.85,180,50.737
Marayong Station - Blacktown Station,T1,Inbound,0 days 00:04:00,2560.52,240,38.4078
Gordon Station - Hornsby Station,T1,Outbound,0 days 00:13:00,8023.51,780,37.03158462
Blacktown Station - Marayong Station,T1,Outbound,0 days 00:03:00,2568.93,180,51.3786
Marayong Station - Quakers Hill Station,T1,Outbound,0 days 00:03:00,2535.83,180,50.7166
Quakers Hill Station - Schofields Station,T1,Outbound,0 days 00:03:00,2836.78,180,56.7356
North Sydney Station - St Leonards Station,T1,Outbound,0 days 00:06:00,3313.21,360,33.1321
St Leonards Station - Chatswood Station,T1,Outbound,0 days 00:05:00,3231.46,300,38.77752
Chatswood Station - Gordon Station,T1,Outbound,0 days 00:08:00,5471.83,480,41.038725
Homebush Station - Lidcombe Station,T1,Outbound,0 days 00:05:00,3905.38,300,46.86456
Wolli Creek Station - Holsworthy Station,T8,Outbound,0 days 00:16:00,19472.07,960,73.0202625
Schofields Station - Riverstone Station,T1,Outbound,0 days 00:05:00,3077.06,300,36.92472
Riverstone Station - Vineyard Station,T1,Outbound,0 days 00:05:00,3386.35,300,40.6362
Vineyard Station - Mulgrave Station,T1,Outbound,0 days 00:03:00,3335.46,180,66.7092
Mulgrave Station - Windsor Station,T1,Outbound,0 days 00:04:00,2404.47,240,36.06705
Windsor Station - Clarendon Station,T1,Outbound,0 days 00:04:00,2222.11,240,33.33165
Clarendon Station - East Richmond Station,T1,Outbound,0 days 00:03:00,2786.84,180,55.7368
East Richmond Station - Richmond Station,T1,Outbound,0 days 00:03:00,659.81,180,13.1962
Richmond Station - East Richmond Station,T1,Inbound,0 days 00:02:00,659.81,120,19.7943
East Richmond Station - Clarendon Station,T1,Inbound,0 days 00:05:00,2787.3,300,33.4476
Clarendon Station - Windsor Station,T1,Inbound,0 days 00:03:00,2221.71,180,44.4342
Windsor Station - Mulgrave Station,T1,Inbound,0 days 00:03:00,2405.03,180,48.1006
Mulgrave Station - Vineyard Station,T1,Inbound,0 days 00:03:00,3337.05,180,66.741
Vineyard Station - Riverstone Station,T1,Inbound,0 days 00:06:00,3354.7,360,33.547
Riverstone Station - Schofields Station,T1,Inbound,0 days 00:04:00,3109.34,240,46.6401
Chatswood Station - Lindfield Station,T1,Outbound,0 days 00:03:00,2882.82,180,57.6564
Lindfield Station - Chatswood Station,T1,Inbound,0 days 00:05:00,2888.41,300,34.66092
Chatswood Station - St Leonards Station,T1,Inbound,0 days 00:04:00,3222.18,240,48.3327
St Leonards Station - North Sydney Station,T1,Inbound,0 days 00:07:00,3302.54,420,28.30748571
Hornsby Station - Warrawee Station,T1,Inbound,0 days 00:04:00,3309.29,240,49.63935
Ashfield Station - Redfern Station,T2,Inbound,0 days 00:09:00,7108.89,540,47.3926
Wahroonga Station - Turramurra Station,T1,Inbound,0 days 00:04:00,1931.86,240,28.9779
Blacktown Station - Schofields Station,T1,Outbound,0 days 00:06:00,7941.54,360,79.4154
Lindfield Station - Gordon Station,T1,Outbound,0 days 00:05:00,2591.62,300,31.09944
Granville Station - Lidcombe Station,T1,Outbound,0 days 00:05:00,4630.08,300,55.56096
Blacktown Station - Parramatta Station,T1,Inbound,0 days 00:11:00,11664.11,660,63.62241818
Cabramatta Station - Chester Hill Station,T3,Inbound,0 days 00:06:00,6188.4,360,61.884
Chester Hill Station - Sefton Station,T3,Inbound,0 days 00:02:00,1085.59,120,32.5677
Sefton Station - Birrong Station,T3,Inbound,0 days 00:04:00,1705.67,240,25.58505
Birrong Station - Bankstown Station,T3,Inbound,0 days 00:05:00,3417.22,300,41.00664
Bankstown Station - Lakemba Station,T3,Inbound,0 days 00:05:00,4258.5,300,51.102
Lakemba Station - Campsie Station,T3,Inbound,0 days 00:04:00,2821.17,240,42.31755
Campsie Station - Dulwich Hill Station,T3,Inbound,0 days 00:05:00,3785.82,300,45.42984
Sydenham Station - Redfern Station,T3,Inbound,0 days 00:06:00,4047.4,360,40.474
Holsworthy Station - Revesby Station,T8,Inbound,0 days 00:06:00,5822.34,360,58.2234
Birrong Station - Sefton Station,T3,Outbound,0 days 00:04:00,1698.87,240,25.48305
Sefton Station - Chester Hill Station,T3,Outbound,0 days 00:02:00,1085.44,120,32.5632
Chester Hill Station - Leightonfield Station,T3,Outbound,0 days 00:02:00,1394.82,120,41.8446
Leightonfield Station - Villawood Station,T3,Outbound,0 days 00:02:00,779.86,120,23.3958
Villawood Station - Carramar Station,T3,Outbound,0 days 00:02:00,1512.6,120,45.378
Carramar Station - Cabramatta Station,T3,Outbound,0 days 00:03:00,2493.23,180,49.8646
Cabramatta Station - Carramar Station,T3,Inbound,0 days 00:03:00,2498.38,180,49.9676
Carramar Station - Villawood Station,T3,Inbound,0 days 00:03:00,1513.81,180,30.2762
Villawood Station - Leightonfield Station,T3,Inbound,0 days 00:02:00,786.25,120,23.5875
Leightonfield Station - Chester Hill Station,T3,Inbound,0 days 00:02:00,1389.96,120,41.6988
Campsie Station - Sydenham Station,T3,Inbound,0 days 00:08:00,6339.92,480,47.5494
St Peters Station - Redfern Station,T3,Inbound,0 days 00:04:00,2533.98,240,38.0097
Redfern Station - Sydenham Station,T3,Outbound,0 days 00:06:00,4050.44,360,40.5044
Marrickville Station - Campsie Station,T3,Outbound,0 days 00:06:00,5030.4,360,50.304
Campsie Station - Lakemba Station,T3,Outbound,0 days 00:05:00,2817.35,300,33.8082
Lakemba Station - Bankstown Station,T3,Outbound,0 days 00:07:00,4262.87,420,36.53888571
Bankstown Station - Birrong Station,T3,Outbound,0 days 00:05:00,3424.77,300,41.09724
Campsie Station - Marrickville Station,T3,Inbound,0 days 00:07:00,5026.24,420,43.08205714
Redfern Station - St Peters Station,T8,Outbound,0 days 00:03:00,2538.2,180,50.764
Sydenham Station - Revesby Station,T8,Outbound,0 days 00:14:00,15612.96,840,66.91268571
Glenfield Station - Ingleburn Station,T8,Outbound,0 days 00:04:00,3784.74,240,56.7711
Punchbowl Station - Campsie Station,T3,Inbound,0 days 00:06:00,4803.54,360,48.0354
Ingleburn Station - Glenfield Station,T8,Inbound,0 days 00:06:00,3784.47,360,37.8447
Revesby Station - Sydenham Station,T8,Inbound,0 days 00:15:00,15607.2,900,62.4288
Central Station - Strathfield Station,CCN,Outbound,0 days 00:13:00,11776.66,780,54.35381538
Strathfield Station - Epping Station,CCN,Outbound,0 days 00:12:00,11565.78,720,57.8289
Epping Station - Hornsby Station,CCN,Outbound,0 days 00:12:00,10409.79,720,52.04895
Hornsby Station - Berowra Station,CCN,Outbound,0 days 00:09:00,10873.99,540,72.49326667
Berowra Station - Cowan Station,CCN,Outbound,0 days 00:05:00,4127.5,300,49.53
Cowan Station - Hawkesbury River Station,CCN,Outbound,0 days 00:10:00,8595.02,600,51.57012
Hawkesbury River Station - Wondabyne Station,CCN,Outbound,0 days 00:07:00,7794.51,420,66.81008571
Wondabyne Station - Woy Woy Station,CCN,Outbound,0 days 00:07:00,7436.84,420,63.74434286
Woy Woy Station - Koolewong Station,CCN,Outbound,0 days 00:02:00,2270.44,120,68.1132
Koolewong Station - Tascott Station,CCN,Outbound,0 days 00:03:00,2067.91,180,41.3582
Tascott Station - Point Clare Station,CCN,Outbound,0 days 00:02:00,1118.86,120,33.5658
Point Clare Station - Gosford Station,CCN,Outbound,0 days 00:05:00,2882.54,300,34.59048
Gosford Station - Narara Station,CCN,Outbound,0 days 00:05:00,3687.18,300,44.24616
Narara Station - Niagara Park Station,CCN,Outbound,0 days 00:02:00,1613,120,48.39
Niagara Park Station - Lisarow Station,CCN,Outbound,0 days 00:03:00,1521.18,180,30.4236
Lisarow Station - Ourimbah Station,CCN,Outbound,0 days 00:02:00,2859.19,120,85.7757
Ourimbah Station - Tuggerah Station,CCN,Outbound,0 days 00:06:00,7821.14,360,78.2114
Tuggerah Station - Wyong Station,CCN,Outbound,0 days 00:03:00,2527.31,180,50.5462
Wyong Station - Warnervale Station,CCN,Outbound,0 days 00:04:00,4821.82,240,72.3273
Warnervale Station - Wyee Station,CCN,Outbound,0 days 00:07:00,9021.34,420,77.32577143
Wyee Station - Morisset Station,CCN,Outbound,0 days 00:06:00,8497.72,360,84.9772
Morisset Station - Dora Creek Station,CCN,Outbound,0 days 00:04:00,3775.5,240,56.6325
Dora Creek Station - Awaba Station,CCN,Outbound,0 days 00:09:00,10211.68,540,68.07786667
Awaba Station - Fassifern Station,CCN,Outbound,0 days 00:05:00,4988.12,300,59.85744
Fassifern Station - Booragul Station,CCN,Outbound,0 days 00:04:00,4036.38,240,60.5457
Booragul Station - Teralba Station,CCN,Outbound,0 days 00:02:00,1242.46,120,37.2738
Teralba Station - Cockle Creek Station,CCN,Outbound,0 days 00:03:00,3060.74,180,61.2148
Cockle Creek Station - Cardiff Station,CCN,Outbound,0 days 00:05:00,4287.57,300,51.45084
Cardiff Station - Kotara Station,CCN,Outbound,0 days 00:05:00,3814.98,300,45.77976
Kotara Station - Adamstown Station,CCN,Outbound,0 days 00:02:00,2289.13,120,68.6739
Adamstown Station - Broadmeadow Station,CCN,Outbound,0 days 00:03:00,1821.89,180,36.4378
Broadmeadow Station - Hamilton Station,CCN,Outbound,0 days 00:04:00,1606.41,240,24.09615
Hamilton Station - Newcastle Interchange,CCN,Outbound,0 days 00:04:00,1174.71,240,17.62065
Newcastle Interchange - Hamilton Station,CCN,Inbound,0 days 00:03:00,1152.54,180,23.0508
Hamilton Station - Broadmeadow Station,CCN,Inbound,0 days 00:03:00,1622.29,180,32.4458
Broadmeadow Station - Adamstown Station,CCN,Inbound,0 days 00:03:00,1827.73,180,36.5546
Adamstown Station - Kotara Station,CCN,Inbound,0 days 00:03:00,2286.52,180,45.7304
Kotara Station - Cardiff Station,CCN,Inbound,0 days 00:04:00,3830.6,240,57.459
Cardiff Station - Cockle Creek Station,CCN,Inbound,0 days 00:04:00,4286.38,240,64.2957
Cockle Creek Station - Teralba Station,CCN,Inbound,0 days 00:03:00,3061.69,180,61.2338
Teralba Station - Booragul Station,CCN,Inbound,0 days 00:02:00,1234.17,120,37.0251
Booragul Station - Fassifern Station,CCN,Inbound,0 days 00:05:00,4037.18,300,48.44616
Fassifern Station - Awaba Station,CCN,Inbound,0 days 00:04:00,4993.81,240,74.90715
Awaba Station - Dora Creek Station,CCN,Inbound,0 days 00:09:00,10203.54,540,68.0236
Dora Creek Station - Morisset Station,CCN,Inbound,0 days 00:05:00,3779.26,300,45.35112
Morisset Station - Wyee Station,CCN,Inbound,0 days 00:06:00,8494.98,360,84.9498
Wyee Station - Warnervale Station,CCN,Inbound,0 days 00:06:00,9025.53,360,90.2553
Warnervale Station - Wyong Station,CCN,Inbound,0 days 00:06:00,4817.38,360,48.1738
Wyong Station - Tuggerah Station,CCN,Inbound,0 days 00:03:00,2528.76,180,50.5752
Tuggerah Station - Ourimbah Station,CCN,Inbound,0 days 00:05:00,7819.36,300,93.83232
Ourimbah Station - Lisarow Station,CCN,Inbound,0 days 00:03:00,2864.71,180,57.2942
Lisarow Station - Niagara Park Station,CCN,Inbound,0 days 00:02:00,1517.55,120,45.5265
Niagara Park Station - Narara Station,CCN,Inbound,0 days 00:03:00,1613.53,180,32.2706
Narara Station - Gosford Station,CCN,Inbound,0 days 00:05:00,3685.71,300,44.22852
Gosford Station - Point Clare Station,CCN,Inbound,0 days 00:03:00,2882.85,180,57.657
Point Clare Station - Tascott Station,CCN,Inbound,0 days 00:02:00,1121.63,120,33.6489
Tascott Station - Koolewong Station,CCN,Inbound,0 days 00:03:00,2062.51,180,41.2502
Koolewong Station - Woy Woy Station,CCN,Inbound,0 days 00:03:00,2275.13,180,45.5026
Woy Woy Station - Wondabyne Station,CCN,Inbound,0 days 00:07:00,7432.1,420,63.70371429
Wondabyne Station - Hawkesbury River Station,CCN,Inbound,0 days 00:07:00,7806.62,420,66.91388571
Hawkesbury River Station - Cowan Station,CCN,Inbound,0 days 00:09:00,8598.83,540,57.32553333
Cowan Station - Berowra Station,CCN,Inbound,0 days 00:06:00,4130.12,360,41.3012
Berowra Station - Hornsby Station,CCN,Inbound,0 days 00:10:00,10867.46,600,65.20476
Hornsby Station - Epping Station,CCN,Inbound,0 days 00:13:00,10454.87,780,48.25324615
Epping Station - Strathfield Station,CCN,Inbound,0 days 00:11:00,11494.84,660,62.69912727
Strathfield Station - Central Station,CCN,Inbound,0 days 00:13:00,12094.69,780,55.82164615
Hawkesbury River Station - Woy Woy Station,CCN,Outbound,0 days 00:13:00,15231.35,780,70.29853846
Woy Woy Station - Hawkesbury River Station,CCN,Inbound,0 days 00:13:00,15238.71,780,70.33250769
Berowra Station - Asquith Station,CCN,Inbound,0 days 00:08:00,8953.82,480,67.15365
Holsworthy Station - Padstow Station,T8,Inbound,0 days 00:08:00,7416.64,480,55.6248
Riverwood Station - Wolli Creek Station,T8,Inbound,0 days 00:11:00,10197.62,660,55.62338182
Sydenham Station - Erskineville Station,T3,Inbound,0 days 00:04:00,2426.73,240,36.40095
Revesby Station - East Hills Station,T8,Outbound,0 days 00:05:00,3095.41,300,37.14492
Broadmeadow Station - Cardiff Station,CCN,Outbound,0 days 00:07:00,7944.85,420,68.09871429
Cardiff Station - Fassifern Station,CCN,Outbound,0 days 00:10:00,12619.42,600,75.71652
Fassifern Station - Morisset Station,CCN,Outbound,0 days 00:15:00,18976.6,900,75.9064
Morisset Station - Wyong Station,CCN,Outbound,0 days 00:14:00,22337.9,840,95.73385714
Tuggerah Station - Gosford Station,CCN,Outbound,0 days 00:13:00,17500.85,780,80.77315385
Gosford Station - Woy Woy Station,CCN,Outbound,0 days 00:08:00,8342.13,480,62.565975
Woy Woy Station - Hornsby Station,CCN,Outbound,0 days 00:33:00,38835.13,1980,70.60932727
Berowra Station - Woy Woy Station,CCN,Outbound,0 days 00:26:00,27953.47,1560,64.50800769
Asquith Station - Berowra Station,CCN,Outbound,0 days 00:08:00,8956.87,480,67.176525
Woy Woy Station - Berowra Station,CCN,Inbound,0 days 00:25:00,27967.66,1500,67.122384
Hornsby Station - Gordon Station,CCN,Outbound,0 days 00:11:00,8015.93,660,43.72325455
Ourimbah Station - Narara Station,CCN,Inbound,0 days 00:05:00,5995.79,300,71.94948
Woy Woy Station - Gosford Station,CCN,Outbound,0 days 00:09:00,8339.74,540,55.59826667
Hornsby Station - Woy Woy Station,CCN,Outbound,0 days 00:33:00,38827.98,1980,70.59632727
Gosford Station - Tuggerah Station,CCN,Outbound,0 days 00:13:00,17501.69,780,80.77703077
Wyong Station - Morisset Station,CCN,Outbound,0 days 00:13:00,22340.87,780,103.1117077
Morisset Station - Fassifern Station,CCN,Outbound,0 days 00:15:00,18975.31,900,75.90124
Fassifern Station - Cardiff Station,CCN,Outbound,0 days 00:10:00,12627.14,600,75.76284
Cardiff Station - Broadmeadow Station,CCN,Outbound,0 days 00:07:00,7926,420,67.93714286
Wollongong Station - North Wollongong Station,SCO,Inbound,0 days 00:02:00,1666.09,120,49.9827
North Wollongong Station - Fairy Meadow Station,SCO,Inbound,0 days 00:02:00,1955.42,120,58.6626
Fairy Meadow Station - Towradgi Station,SCO,Inbound,0 days 00:02:00,1305.83,120,39.1749
Towradgi Station - Corrimal Station,SCO,Inbound,0 days 00:02:00,1030.56,120,30.9168
Corrimal Station - Bellambi Station,SCO,Inbound,0 days 00:02:00,1494.03,120,44.8209
Bellambi Station - Woonona Station,SCO,Inbound,0 days 00:03:00,1541.53,180,30.8306
Woonona Station - Bulli Station,SCO,Inbound,0 days 00:02:00,1808,120,54.24
Bulli Station - Thirroul Station,SCO,Inbound,0 days 00:03:00,1946.53,180,38.9306
Thirroul Station - Austinmer Station,SCO,Inbound,0 days 00:03:00,1595.88,180,31.9176
Austinmer Station - Coledale Station,SCO,Inbound,0 days 00:02:00,2358.55,120,70.7565
Coledale Station - Wombarra Station,SCO,Inbound,0 days 00:03:00,1956.51,180,39.1302
Wombarra Station - Scarborough Station,SCO,Inbound,0 days 00:03:00,1701,180,34.02
Scarborough Station - Coalcliff Station,SCO,Inbound,0 days 00:04:00,3323.94,240,49.8591
Coalcliff Station - Stanwell Park Station,SCO,Inbound,0 days 00:05:00,3321.8,300,39.8616
Stanwell Park Station - Otford Station,SCO,Inbound,0 days 00:05:00,3219.85,300,38.6382
Otford Station - Helensburgh Station,SCO,Inbound,0 days 00:08:00,6364.71,480,47.735325
Helensburgh Station - Waterfall Station,SCO,Inbound,0 days 00:08:00,7617.94,480,57.13455
Waterfall Station - Heathcote Station,T4,Inbound,0 days 00:05:00,5657.36,300,67.88832
Heathcote Station - Engadine Station,T4,Inbound,0 days 00:03:00,2381.14,180,47.6228
Engadine Station - Loftus Station,T4,Inbound,0 days 00:04:00,4478.63,240,67.17945
Loftus Station - Sutherland Station,T4,Inbound,0 days 00:03:00,1649.26,180,32.9852
Sutherland Station - Jannali Station,T4,Inbound,0 days 00:02:00,1925.18,120,57.7554
Jannali Station - Mortdale Station,T4,Inbound,0 days 00:07:00,5604.04,420,48.03462857
Mortdale Station - Penshurst Station,T4,Inbound,0 days 00:02:00,943.07,120,28.2921
Penshurst Station - Hurstville Station,T4,Inbound,0 days 00:03:00,1339.88,180,26.7976
Hurstville Station - Wolli Creek Station,T4,Inbound,0 days 00:07:00,7514.53,420,64.41025714
Wolli Creek Station - Sydenham Station,T4,Inbound,0 days 00:04:00,1997.45,240,29.96175
Town Hall Station - Martin Place Station,T4,Outbound,0 days 00:02:00,928.88,120,27.8664
Martin Place Station - Kings Cross Station,T4,Outbound,0 days 00:02:00,1233.22,120,36.9966
Kings Cross Station - Edgecliff Station,T4,Outbound,0 days 00:03:00,1486.48,180,29.7296
Edgecliff Station - Bondi Junction Station,T4,Outbound,0 days 00:03:00,1904.41,180,38.0882
Leightonfield Station - Bankstown Station,T3,Inbound,0 days 00:10:00,7598.44,600,45.59064
Bankstown Station - Belmore Station,T3,Inbound,0 days 00:06:00,5463.36,360,54.6336
Belmore Station - Dulwich Hill Station,T3,Inbound,0 days 00:08:00,5402.13,480,40.515975
Port Kembla Station - Port Kembla North Station,SCO,Inbound,0 days 00:03:00,1592.05,180,31.841
Port Kembla North Station - Cringila Station,SCO,Inbound,0 days 00:02:00,1057.22,120,31.7166
Cringila Station - Lysaghts Station,SCO,Inbound,0 days 00:03:00,1398.18,180,27.9636
Lysaghts Station - Coniston Station,SCO,Inbound,0 days 00:03:00,2123.1,180,42.462
Coniston Station - Wollongong Station,SCO,Inbound,0 days 00:03:00,1222.54,180,24.4508
Martin Place Station - Town Hall Station,SCO,Inbound,0 days 00:03:00,897.51,180,17.9502
Redfern Station - Wolli Creek Station,SCO,Outbound,0 days 00:08:00,6257.81,480,46.933575
Wolli Creek Station - Hurstville Station,SCO,Outbound,0 days 00:11:00,7527.28,660,41.05789091
Hurstville Station - Sutherland Station,SCO,Outbound,0 days 00:11:00,9815.31,660,53.53805455
Sutherland Station - Waterfall Station,SCO,Outbound,0 days 00:12:00,14158.71,720,70.79355
Waterfall Station - Helensburgh Station,SCO,Outbound,0 days 00:09:00,7602.34,540,50.68226667
Helensburgh Station - Otford Station,SCO,Outbound,0 days 00:08:00,6344.91,480,47.586825
Otford Station - Stanwell Park Station,SCO,Outbound,0 days 00:04:00,3246.02,240,48.6903
Stanwell Park Station - Coalcliff Station,SCO,Outbound,0 days 00:05:00,3319.32,300,39.83184
Coalcliff Station - Scarborough Station,SCO,Outbound,0 days 00:05:00,3325.67,300,39.90804
Scarborough Station - Wombarra Station,SCO,Outbound,0 days 00:02:00,1699.26,120,50.9778
Wombarra Station - Coledale Station,SCO,Outbound,0 days 00:03:00,1959.03,180,39.1806
Coledale Station - Austinmer Station,SCO,Outbound,0 days 00:03:00,2345.46,180,46.9092
Austinmer Station - Thirroul Station,SCO,Outbound,0 days 00:02:00,1605.96,120,48.1788
Thirroul Station - Bulli Station,SCO,Outbound,0 days 00:03:00,1931.97,180,38.6394
Bulli Station - Woonona Station,SCO,Outbound,0 days 00:02:00,1820.79,120,54.6237
Woonona Station - Bellambi Station,SCO,Outbound,0 days 00:02:00,1542.05,120,46.2615
Bellambi Station - Corrimal Station,SCO,Outbound,0 days 00:03:00,1485.72,180,29.7144
Corrimal Station - Towradgi Station,SCO,Outbound,0 days 00:01:00,1040.73,60,62.4438
Towradgi Station - Fairy Meadow Station,SCO,Outbound,0 days 00:02:00,1305.8,120,39.174
Fairy Meadow Station - North Wollongong Station,SCO,Outbound,0 days 00:03:00,1953.36,180,39.0672
North Wollongong Station - Wollongong Station,SCO,Outbound,0 days 00:03:00,1652.02,180,33.0404
Helensburgh Station - Heathcote Station,SCO,Inbound,0 days 00:12:00,13275.29,720,66.37645
Engadine Station - Sutherland Station,SCO,Inbound,0 days 00:06:00,6127.88,360,61.2788
Sutherland Station - Oatley Station,SCO,Inbound,0 days 00:07:00,6407.54,420,54.92177143
Oatley Station - Hurstville Station,SCO,Inbound,0 days 00:05:00,3404.64,300,40.85568
Wolli Creek Station - Redfern Station,SCO,Inbound,0 days 00:10:00,6252.32,600,37.51392
Bondi Junction Station - Edgecliff Station,T4,Inbound,0 days 00:03:00,1915.9,180,38.318
Edgecliff Station - Kings Cross Station,T4,Inbound,0 days 00:03:00,1492.02,180,29.8404
Kings Cross Station - Martin Place Station,T4,Inbound,0 days 00:02:00,1218.4,120,36.552
Sydenham Station - Tempe Station,T4,Outbound,0 days 00:03:00,1481.81,180,29.6362
Tempe Station - Wolli Creek Station,T4,Outbound,0 days 00:01:00,515.78,60,30.9468
Wolli Creek Station - Arncliffe Station,T4,Outbound,0 days 00:03:00,1138.26,180,22.7652
Arncliffe Station - Banksia Station,T4,Outbound,0 days 00:02:00,1149.62,120,34.4886
Banksia Station - Rockdale Station,T4,Outbound,0 days 00:02:00,854.73,120,25.6419
Rockdale Station - Kogarah Station,T4,Outbound,0 days 00:02:00,1248.61,120,37.4583
Kogarah Station - Carlton Station,T4,Outbound,0 days 00:02:00,1053.71,120,31.6113
Carlton Station - Allawah Station,T4,Outbound,0 days 00:02:00,954.27,120,28.6281
Allawah Station - Hurstville Station,T4,Outbound,0 days 00:03:00,1107.24,180,22.1448
Sutherland Station - Helensburgh Station,SCO,Outbound,0 days 00:22:00,21784.84,1320,59.4132
Helensburgh Station - Stanwell Park Station,SCO,Outbound,0 days 00:11:00,9582.47,660,52.26801818
Stanwell Park Station - Austinmer Station,SCO,Outbound,0 days 00:13:00,12648.74,780,58.3788
Thirroul Station - North Wollongong Station,SCO,Outbound,0 days 00:09:00,11080.42,540,73.86946667
Helensburgh Station - Thirroul Station,SCO,Outbound,0 days 00:24:00,23845.63,1440,59.614075
Hurlstone Park Station - Sydenham Station,T3,Inbound,0 days 00:05:00,3430.65,300,41.1678
Waterfall Station - Sutherland Station,SCO,Inbound,0 days 00:10:00,14166.39,600,84.99834
Jannali Station - Oatley Station,SCO,Inbound,0 days 00:06:00,4482.36,360,44.8236
Oatley Station - Mortdale Station,SCO,Inbound,0 days 00:02:00,1121.68,120,33.6504
North Wollongong Station - Thirroul Station,SCO,Inbound,0 days 00:09:00,11081.9,540,73.87933333
Thirroul Station - Helensburgh Station,SCO,Inbound,0 days 00:24:00,23842.24,1440,59.6056
Helensburgh Station - Sutherland Station,SCO,Inbound,0 days 00:19:00,21784.32,1140,68.79258947
Sutherland Station - Hurstville Station,SCO,Inbound,0 days 00:11:00,9812.18,660,53.52098182
Hurstville Station - Oatley Station,T4,Outbound,0 days 00:04:00,3399.97,240,50.99955
Oatley Station - Como Station,T4,Outbound,0 days 00:03:00,3054.44,180,61.0888
Como Station - Jannali Station,T4,Outbound,0 days 00:03:00,1431.59,180,28.6318
Jannali Station - Sutherland Station,T4,Outbound,0 days 00:04:00,1929.32,240,28.9398
