station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
Leppington Station - Edmondson Park Station,T2,Inbound,0 days 00:05:00,5642.36,300,67.70832
Edmondson Park Station - Glenfield Station,T2,Inbound,0 days 00:05:00,3421.19,300,41.05428
Glenfield Station - Casula Station,T2,Inbound,0 days 00:04:00,3126.68,240,46.9002
Casula Station - Liverpool Station,T2,Inbound,0 days 00:04:00,3197.72,240,47.9658
Liverpool Station - Warwick Farm Station,T2,Inbound,0 days 00:02:00,1541.76,120,46.2528
Warwick Farm Station - Cabramatta Station,T2,Inbound,0 days 00:03:00,2060.63,180,41.2126
Cabramatta Station - Canley Vale Station,T2,Inbound,0 days 00:04:00,966.54,240,14.4981
Canley Vale Station - Fairfield Station,T2,Inbound,0 days 00:03:00,2056.71,180,41.1342
Fairfield Station - Yennora Station,T2,Inbound,0 days 00:03:00,1558.41,180,31.1682
Yennora Station - Guildford Station,T2,Inbound,0 days 00:03:00,1736.02,180,34.7204
Guildford Station - Merrylands Station,T2,Inbound,0 days 00:03:00,2205.6,180,44.112
Merrylands Station - Granville Station,T2,Inbound,0 days 00:04:00,2216.11,240,33.24165
Granville Station - Auburn Station,T2,Inbound,0 days 00:03:00,2651.32,180,53.0264
Auburn Station - Lidcombe Station,T2,Inbound,0 days 00:03:00,1979.07,180,39.5814
Lidcombe Station - Strathfield Station,T2,Inbound,0 days 00:07:00,4785.26,420,41.01651429
Strathfield Station - Burwood Station,T2,Inbound,0 days 00:03:00,1177.86,180,23.5572
Burwood Station - Croydon Station,T2,Inbound,0 days 00:02:00,1251.26,120,37.5378
Croydon Station - Ashfield Station,T2,Inbound,0 days 00:02:00,1060.95,120,31.8285
Ashfield Station - Newtown Station,T2,Inbound,0 days 00:08:00,5260.12,480,39.4509
Newtown Station - Redfern Station,T2,Inbound,0 days 00:04:00,1848.77,240,27.73155
Central Station - Town Hall Station,T3,Outbound,0 days 00:03:00,1258.73,180,25.1746
Town Hall Station - Wynyard Station,T3,Outbound,0 days 00:03:00,868.91,180,17.3782
Wynyard Station - Circular Quay Station,T3,Outbound,0 days 00:03:00,894.43,180,17.8886
Circular Quay Station - St James Station,T3,Outbound,0 days 00:03:00,1456.08,180,29.1216
St James Station - Museum Station,T3,Outbound,0 days 00:02:00,639.08,120,19.1724
Museum Station - Central Station,T3,Inbound,0 days 00:04:00,939.3,240,14.0895
Redfern Station - Erskineville Station,T3,Outbound,0 days 00:02:00,1618.46,120,48.5538
Erskineville Station - St Peters Station,T3,Outbound,0 days 00:02:00,919.74,120,27.5922
St Peters Station - Sydenham Station,T3,Outbound,0 days 00:03:00,1512.25,180,30.245
Sydenham Station - Marrickville Station,T3,Outbound,0 days 00:03:00,1318.36,180,26.3672
Marrickville Station - Dulwich Hill Station,T3,Outbound,0 days 00:03:00,1241.59,180,24.8318
Dulwich Hill Station - Hurlstone Park Station,T3,Outbound,0 days 00:02:00,872.39,120,26.1717
Hurlstone Park Station - Canterbury Station,T3,Outbound,0 days 00:02:00,1399.99,120,41.9997
Canterbury Station - Campsie Station,T3,Outbound,0 days 00:03:00,1516.43,180,30.3286
Campsie Station - Belmore Station,T3,Outbound,0 days 00:02:00,1612.37,120,48.3711
Belmore Station - Lakemba Station,T3,Outbound,0 days 00:03:00,1204.99,180,24.0998
Lakemba Station - Wiley Park Station,T3,Outbound,0 days 00:02:00,841.55,120,25.2465
Wiley Park Station - Punchbowl Station,T3,Outbound,0 days 00:02:00,1143.01,120,34.2903
Punchbowl Station - Bankstown Station,T3,Outbound,0 days 00:04:00,2278.31,240,34.17465
Bankstown Station - Yagoona Station,T3,Outbound,0 days 00:03:00,1741.99,180,34.8398
Yagoona Station - Birrong Station,T3,Outbound,0 days 00:02:00,1682.77,120,50.4831
Birrong Station - Regents Park Station,T3,Outbound,0 days 00:06:00,1403.6,360,14.036
Regents Park Station - Berala Station,T3,Outbound,0 days 00:02:00,1523.39,120,45.7017
Berala Station - Lidcombe Station,T3,Outbound,0 days 00:04:00,1693.5,240,25.4025
Lidcombe Station - Berala Station,T3,Outbound,0 days 00:03:00,1694.25,180,33.885
Berala Station - Regents Park Station,T3,Outbound,0 days 00:02:00,1524.45,120,45.7335
Regents Park Station - Birrong Station,T3,Inbound,0 days 00:04:00,1402.97,240,21.04455
Birrong Station - Yagoona Station,T3,Inbound,0 days 00:02:00,1680.66,120,50.4198
Yagoona Station - Bankstown Station,T3,Inbound,0 days 00:07:00,1736.57,420,14.88488571
Bankstown Station - Punchbowl Station,T3,Inbound,0 days 00:03:00,2276.12,180,45.5224
Punchbowl Station - Wiley Park Station,T3,Inbound,0 days 00:02:00,1140.98,120,34.2294
Wiley Park Station - Lakemba Station,T3,Inbound,0 days 00:02:00,841.39,120,25.2417
Lakemba Station - Belmore Station,T3,Inbound,0 days 00:02:00,1204.86,120,36.1458
Belmore Station - Campsie Station,T3,Inbound,0 days 00:03:00,1616.31,180,32.3262
Campsie Station - Canterbury Station,T3,Inbound,0 days 00:02:00,1545.69,120,46.3707
Canterbury Station - Hurlstone Park Station,T3,Inbound,0 days 00:03:00,1363.58,180,27.2716
Hurlstone Park Station - Dulwich Hill Station,T3,Inbound,0 days 00:02:00,876.55,120,26.2965
Dulwich Hill Station - Marrickville Station,T3,Inbound,0 days 00:02:00,1240.42,120,37.2126
Marrickville Station - Sydenham Station,T3,Inbound,0 days 00:03:00,1313.68,180,26.2736
Sydenham Station - St Peters Station,T3,Inbound,0 days 00:03:00,1513.42,180,30.2684
St Peters Station - Erskineville Station,T3,Inbound,0 days 00:02:00,913.31,120,27.3993
Erskineville Station - Redfern Station,T3,Inbound,0 days 00:02:00,1620.67,120,48.6201
Central Station - Green Square Station,T8,Outbound,0 days 00:03:00,2631.26,180,52.6252
Green Square Station - Mascot Station,T8,Outbound,0 days 00:03:00,2480.04,180,49.6008
Mascot Station - Domestic Station,T8,Outbound,0 days 00:03:00,1549.54,180,30.9908
Domestic Station - International Station,T8,Outbound,0 days 00:02:00,1471.68,120,44.1504
International Station - Wolli Creek Station,T8,Outbound,0 days 00:03:00,1296.95,180,25.939
Wolli Creek Station - Revesby Station,T8,Outbound,0 days 00:11:00,13649.57,660,74.4522
Revesby Station - Panania Station,T8,Outbound,0 days 00:03:00,1577.75,180,31.555
Panania Station - East Hills Station,T8,Outbound,0 days 00:02:00,1518.33,120,45.5499
